property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,floor_category,price
1.0,28.0,4.0,4.0,4.0,2.0,2700.0,0.0,0.0,2.0,2.0,6.0
1.0,42.0,3.0,4.0,4.0,1.0,1935.0,1.0,0.0,2.0,2.0,1.95
0.0,88.0,3.0,3.0,3.0,3.0,1650.0,0.0,0.0,2.0,2.0,1.24
1.0,15.0,3.0,3.0,3.0,3.0,900.0,0.0,0.0,0.0,2.0,0.38
0.0,61.0,3.0,3.0,2.0,1.0,1721.0,0.0,0.0,0.0,2.0,2.2
0.0,1.0,4.0,5.0,4.0,0.0,2313.0,1.0,0.0,0.0,0.0,2.65
0.0,26.0,4.0,4.0,3.0,2.0,2333.0,1.0,0.0,2.0,0.0,3.7
0.0,67.0,3.0,3.0,3.0,3.0,2200.0,1.0,0.0,2.0,2.0,2.99
0.0,72.0,3.0,2.0,2.0,3.0,1350.0,0.0,0.0,0.0,2.0,1.1
0.0,1.0,3.0,3.0,3.0,3.0,1315.0,1.0,0.0,0.0,2.0,1.35
0.0,99.0,2.0,2.0,2.0,1.0,670.0,0.0,0.0,2.0,0.0,0.41
0.0,97.0,4.0,4.0,4.0,3.0,1920.0,1.0,0.0,0.0,2.0,1.9
0.0,3.0,1.0,2.0,2.0,1.0,334.0,0.0,0.0,0.0,2.0,0.2
0.0,21.0,3.0,4.0,4.0,2.0,1739.0,1.0,0.0,0.0,2.0,1.55
1.0,28.0,5.0,6.0,4.0,0.0,5000.0,0.0,0.0,0.0,2.0,8.95
0.0,66.0,2.0,2.0,2.0,3.0,1073.0,0.0,0.0,0.0,2.0,1.7
0.0,84.0,3.0,3.0,4.0,3.0,1570.0,1.0,0.0,1.0,2.0,2.2
0.0,80.0,2.0,2.0,2.0,0.0,1224.0,0.0,0.0,0.0,2.0,0.7
0.0,1.0,3.0,3.0,3.0,1.0,1465.0,0.0,1.0,0.0,0.0,1.95
0.0,61.0,3.0,3.0,3.0,1.0,1137.0,0.0,0.0,0.0,1.0,1.9
1.0,56.0,5.0,5.0,4.0,3.0,5580.0,1.0,1.0,2.0,2.0,9.25
0.0,51.0,5.0,5.0,4.0,0.0,5200.0,0.0,0.0,0.0,1.0,5.0
